ID,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime
886592,9,69,3,A,F,Scottish,C Scotland,Silver,5000,18
4600733,8,75,20,C,M,South East,London,Gold,8000,2
262836,12,25,1,A,F,North,N East,Gold,6000,2
7165332,8,36,NA,NA,F,NA,NA,Tin,0.01,9
8494832,9,55,28,D,F,Scottish,C Scotland,Silver,2000,4
6056445,10,67,9,B,F,South East,London,Silver,3000,8
7485924,12,75,44,E,F,South East,London,Platinum,24106.7,23
3615939,7,49,51,F,NA,North,N West,Tin,0.01,5
4485812,NA,51,25,C,F,South East,London,Silver,1500,9
6558692,16,28,52,F,U,Midlands,Midlands,Tin,0.01,4
4824471,13,43,41,E,M,North,Yorkshire,Silver,50,11
4005583,9,32,10,B,M,South East,S & S East,Tin,0.01,5
8800058,7,60,12,B,U,Midlands,Midlands,Gold,12053.34,3
1998251,20,62,53,F,F,North,Yorkshire,Silver,1600,4
8313993,8,62,44,E,F,South East,London,Gold,13500,5
1765512,9,NA,22,C,M,South East,London,Silver,4000,1
4382580,8,68,53,F,F,Midlands,Wales & West,Silver,2200,5
4108954,13,39,47,F,F,Scottish,C Scotland,Silver,1500,2
742017,6,55,3,A,F,Midlands,Midlands,Gold,7000,29
9607962,NA,31,30,D,F,South East,S & S East,Tin,0.01,5
4572690,7,51,4,A,M,South East,London,Gold,6000,2
5134882,7,67,13,B,M,South East,London,Gold,12000,8
6026955,6,52,16,C,NA,North,N West,Silver,500,11
9142304,9,NA,2,A,M,South West,S West,Gold,6000,3
7864649,11,63,8,B,M,South East,London,Silver,4000,1
961556,NA,64,17,C,F,Scottish,C Scotland,Silver,1000,5
4595305,NA,61,3,A,M,South East,London,Silver,570,9
5571448,6,65,52,F,NA,South East,London,Gold,6000,2
1042474,4,43,21,C,NA,South East,London,Tin,0.01,NA
6488471,12,38,3,A,F,South East,London,Gold,15500,5
9806749,10,76,12,B,F,North,Yorkshire,Gold,11800,8
4876772,10,58,41,E,F,Midlands,Midlands,Gold,6000,2
5260820,5,NA,9,B,M,South East,London,Silver,4000,1
3456078,16,49,21,C,F,South East,London,Silver,2000,2
8822475,2,63,32,D,F,South East,London,Silver,5000,1
5778575,9,32,22,C,F,Midlands,Midlands,Gold,10000,1
4340193,10,57,21,C,F,South East,London,Silver,3053.35,12
9950257,17,57,31,D,M,South East,London,Gold,12105.32,8
2877695,11,NA,3,A,F,North,N East,Silver,4000,8
2190102,6,76,4,A,F,South East,London,Tin,0.01,8
8027632,13,35,27,D,F,Midlands,East,Tin,0.01,8
83997,4,38,32,D,F,North,N West,Tin,0.01,8
2946439,9,55,49,F,F,South West,S West,Platinum,24300,9
4161583,10,46,21,C,M,South East,London,Silver,3120,9
5872079,8,56,27,D,F,South East,S & S East,Tin,0.01,5
7277465,6,70,42,E,M,South East,S & S East,Platinum,32000,4
7594200,20,22,38,E,M,South East,S & S East,Silver,100,2
7854929,12,63,5,B,M,South East,S & S East,Gold,5500,13
5858129,9,59,33,D,NA,Midlands,Midlands,Silver,3000,8
5994484,6,56,5,B,U,North,N West,Gold,7305.32,9
6907750,4,61,49,F,F,North,Yorkshire,Silver,3000,1
8982126,11,54,28,D,F,Midlands,Wales & West,Silver,1500,8
375542,9,55,8,B,F,South East,London,Gold,10000,5
7203341,9,61,52,F,M,South East,London,Silver,1000,4
1684788,4,49,25,C,M,Midlands,East,Silver,900,9
9986052,NA,48,52,F,NA,South East,London,Silver,600,4
837667,8,58,16,C,F,South East,London,Tin,0.01,4
5901628,11,53,49,F,F,Midlands,Wales & West,Tin,0.01,8
8754726,14,40,28,D,F,South East,S & S East,Silver,100,1
4442541,14,NA,51,F,M,Midlands,East,Silver,2000,NA
5006322,9,72,22,C,NA,Midlands,Midlands,Gold,12000,17
9645019,13,72,37,E,NA,Midlands,East,Gold,11500,3
2119773,9,29,27,D,F,South East,London,Gold,10000,3
7648577,11,63,41,E,F,North,N West,Silver,300,9
4261622,10,44,4,A,F,NA,NA,Gold,6000,1
8191028,12,40,17,C,F,Midlands,East,Silver,2000,4
1411859,14,57,8,B,M,South East,London,Silver,800,9
4774161,8,74,8,B,U,Midlands,East,Gold,9000,13
2939330,11,24,33,D,F,South East,S & S East,Gold,6053.35,6
5796350,4,47,7,B,NA,South East,London,Silver,3000,8
2096614,10,55,52,F,F,South East,London,Silver,4234.11,12
9306504,13,NA,23,C,F,Midlands,Wales & West,Silver,840,5
6483001,4,77,36,E,F,South East,London,Gold,6035.46,9
1942904,11,44,3,A,F,South East,London,Gold,6053.35,7
7867092,8,59,22,C,F,South East,London,Tin,0.01,5
8873647,8,48,47,F,M,North,N East,Tin,0.01,5
6666809,9,67,5,B,F,Midlands,East,Gold,12105.32,8
5744151,10,36,52,F,F,Midlands,Midlands,Tin,0.01,4
8667062,8,64,27,D,F,North,Yorkshire,Gold,10300,8
2461966,5,28,55,U,F,North,Yorkshire,Tin,0.01,5
4819881,13,41,10,B,U,South East,London,Gold,6053.35,6
7142869,11,42,10,B,F,South East,London,Gold,6000,4
4758274,12,50,47,F,NA,Midlands,Wales & West,Tin,0.01,5
1756906,8,56,9,B,NA,South East,London,Gold,6000,5
8874083,9,57,10,B,M,Scottish,C Scotland,Gold,6000,2
68313,14,50,51,F,F,North,Yorkshire,Silver,5000,3
7714826,14,43,8,B,F,South West,S West,Tin,0.01,4
2152555,10,65,12,B,F,South East,London,Tin,0.01,8
5571537,6,NA,7,B,M,South East,London,Gold,18000,4
5825718,7,51,49,F,M,Midlands,East,Tin,0.01,8
9374857,8,52,25,C,F,South East,S & S East,Tin,0.01,5
4166636,14,50,10,B,F,North,Yorkshire,Gold,10166.01,11
1935402,6,57,27,D,M,South East,S & S East,Tin,0.01,5
4506404,14,36,50,F,F,South East,S & S East,Silver,0.02,5
990235,7,69,38,E,F,NA,NA,Gold,6000,2
3044758,7,58,28,D,F,South East,S & S East,Silver,1000,11
8792743,16,55,4,A,NA,South East,London,Tin,0.01,9
8402391,7,47,27,D,F,South East,London,Tin,0.01,8
5447892,7,NA,8,B,F,South East,London,Platinum,25000,1
7804404,14,62,31,D,M,Midlands,Midlands,Silver,2000,5
7678848,5,49,19,C,F,Midlands,Wales & West,Gold,5040,4
7436331,8,60,18,C,M,South East,London,Gold,13000,13
3914916,6,62,42,E,F,South East,S & S East,Gold,8300,8
4304455,14,74,52,F,F,North,Yorkshire,Tin,0.01,8
7889899,6,NA,44,E,F,Midlands,Midlands,Silver,600,25
2851331,11,29,52,F,F,North,N West,Silver,1000,9
8103899,2,54,38,E,F,South East,London,Tin,0.01,8
8762406,7,49,27,D,F,South East,London,Tin,0.01,9
7249505,9,67,41,E,F,South East,S & S East,Silver,1000,4
2510412,10,NA,34,D,F,South East,London,Silver,3000,4
7891969,5,35,16,C,U,Scottish,C Scotland,Tin,0.01,5
3263710,5,57,14,B,F,Midlands,East,Gold,6000,2
4069809,11,45,52,F,F,North,N West,Tin,0.01,5
9753779,9,51,5,B,U,North,N East,Gold,6000,4
6859824,13,77,13,B,F,South East,London,Gold,6000,5
4017748,6,70,15,B,F,Midlands,Midlands,Silver,3000,5
7109275,10,NA,34,D,NA,Midlands,East,Tin,0.01,8
7722528,15,NA,38,E,U,South East,London,Silver,795.21,10
2651423,8,45,38,E,F,South East,S & S East,Silver,2000,6
8142601,10,47,16,C,F,South East,London,Platinum,55000,1
3820324,4,71,1,A,NA,North,N East,Gold,6105.32,7
4473167,10,47,35,D,M,Scottish,C Scotland,Silver,3000,5
8260950,15,33,38,E,F,South East,London,Tin,0.01,5
4384677,10,72,NA,NA,F,Midlands,Ulster,Gold,6000,25
6906963,5,68,27,D,M,North,Yorkshire,Platinum,20665.56,3
7156345,9,49,34,D,M,South East,S & S East,Tin,0.01,4
4205283,9,44,16,C,F,South East,S & S East,Silver,3746.34,11
206869,6,NA,30,D,M,South East,S & S East,Silver,4000,5
8650725,7,64,10,B,NA,North,Yorkshire,Silver,4000,2
7692272,11,68,15,B,F,North,N East,Gold,6000,5
6249005,13,62,33,D,NA,South East,S & S East,Silver,1000,2
1328586,12,55,1,A,F,South East,London,Gold,14800,28
5164969,9,47,5,B,F,Midlands,East,Silver,2000,NA
9632998,11,66,35,D,M,Scottish,C Scotland,Platinum,31000,15
6913503,8,64,44,E,M,South East,S & S East,Silver,3000,9
4374199,4,69,14,B,F,Midlands,Midlands,Tin,0.01,4
9958050,10,78,23,C,F,Midlands,Wales & West,Tin,0.01,9
8701852,12,40,44,E,NA,Scottish,C Scotland,Silver,720,1
1421932,5,35,19,C,F,Midlands,Midlands,Silver,3000,3
7640697,5,47,50,F,NA,Midlands,Wales & West,Tin,0.01,4
6903222,4,29,31,D,M,North,Yorkshire,Silver,600.01,5
5449215,11,32,53,F,F,North,N West,Silver,0.02,5
4495431,13,76,55,U,F,North,N East,Gold,17554.29,14
3867032,8,46,26,C,M,South East,London,Gold,6000,2
196813,10,44,53,F,U,Midlands,East,Tin,0.01,5
2947713,NA,35,21,C,F,South East,London,Tin,0.01,8
5677538,12,54,4,A,F,South East,London,Silver,3000,2
8557540,12,70,12,B,M,South East,London,Platinum,30075,29
4461211,4,64,35,D,NA,South East,London,Silver,2500,13
6085042,10,43,51,F,M,South East,S & S East,Gold,6000,5
9981697,7,51,24,C,F,South East,London,Tin,0.01,8
8102875,8,59,35,D,F,North,Yorkshire,Silver,2000,4
808267,10,59,10,B,F,South East,London,Tin,0.01,5
1694839,3,67,5,B,M,South West,S West,Silver,5000,1
8799829,8,67,35,D,F,North,Yorkshire,Tin,0.01,5
1060312,8,62,37,E,F,North,N West,Tin,0.01,5
1755885,10,55,NA,NA,F,Midlands,Ulster,Platinum,54491.89,12
2424776,13,NA,52,F,F,South East,London,Gold,15000,8
8594734,8,NA,44,E,F,North,N West,Tin,0.01,5
2853447,13,NA,19,C,F,South East,London,Gold,6000,1
4382025,9,41,8,B,NA,South East,S & S East,Silver,1500,5
560597,9,54,5,B,U,Midlands,East,Gold,6000,5
2947326,11,50,44,E,M,South East,S & S East,Tin,0.01,5
4729396,10,44,12,B,NA,Midlands,Midlands,Silver,1000,5
2741044,NA,49,47,F,U,North,N East,Gold,5644.32,12
8450552,7,45,4,A,M,South East,London,Tin,0.01,7
3968639,8,NA,8,B,F,Midlands,Midlands,Silver,3040,3
2751671,4,64,23,C,F,South East,S & S East,Tin,0.01,5
6474646,6,23,10,B,NA,North,Yorkshire,Silver,600,4
3123922,11,34,NA,NA,F,South East,London,Tin,0.01,9
3091596,8,51,19,C,F,Midlands,Midlands,Gold,6000,2
3449632,5,64,12,B,F,North,Yorkshire,Silver,3000,5
8915590,8,48,44,E,M,Midlands,Midlands,Silver,55.01,8
5376035,9,42,3,A,NA,South East,London,Silver,1100,9
2692372,9,69,48,F,U,Midlands,Midlands,Silver,1200,5
7660017,7,61,NA,NA,NA,Midlands,Ulster,Silver,4350,7
7173050,12,55,32,D,F,South East,S & S East,Gold,9000,3
4548024,7,59,47,F,F,Midlands,Midlands,Silver,500,1
3179966,7,66,35,D,U,Midlands,Wales & West,Gold,12000,2
1633437,7,78,6,B,F,South West,S West,Gold,16146.24,27
1501168,7,47,51,F,M,North,Yorkshire,Tin,0.01,5
9513917,7,79,42,E,NA,Scottish,C Scotland,Gold,12000,25
6558166,6,73,3,A,F,South East,London,Platinum,20583.75,3
7571913,8,59,14,B,F,NA,NA,Tin,0.01,8
4872228,NA,45,18,C,F,North,Yorkshire,Silver,3000.01,8
7105775,5,66,1,A,NA,Midlands,Midlands,Silver,3000,14
8747214,5,51,38,E,M,South East,S & S East,Tin,0.01,10
5484356,5,72,10,B,M,North,Yorkshire,Silver,1000,11
8420847,9,38,52,F,F,South East,London,Tin,0.01,5
3789846,10,57,33,D,F,Midlands,Midlands,Silver,2000,5
3661407,13,59,27,D,F,Midlands,Midlands,Gold,6000,5
8224636,12,35,27,D,M,Midlands,Midlands,Silver,3000,1
5941170,8,NA,38,E,F,Midlands,Midlands,Tin,0.01,5
9702078,13,60,8,B,NA,South East,London,Tin,0.01,6
2477300,7,NA,23,C,F,Scottish,C Scotland,Gold,6000,2
9868295,10,64,8,B,F,South East,London,Silver,100,1
7910474,10,31,31,D,F,Scottish,C Scotland,Tin,0.01,8
5036568,10,62,24,C,M,North,Yorkshire,Silver,2000,5
8134220,8,39,53,F,NA,Midlands,Wales & West,Silver,1049.42,4
7668985,5,65,7,B,NA,South East,London,Silver,2000,6
1997019,8,39,38,E,F,North,N West,Silver,720,1
6542266,7,40,44,E,M,Midlands,East,Tin,0.01,5
7452288,NA,59,50,F,M,NA,NA,Silver,1000,5
7212445,6,78,6,B,F,South East,S & S East,Gold,16000,4
8300854,7,60,28,D,M,North,Yorkshire,Gold,18000,2
5233809,10,50,NA,NA,F,Midlands,Ulster,Silver,500,9
1909270,7,59,52,F,F,Midlands,East,Tin,0.01,5
5433872,6,43,7,B,F,South East,London,Silver,600,5
8977654,8,56,48,F,F,South East,London,Silver,530,10
6967697,8,53,14,B,F,South East,London,Silver,3000,3
5348064,5,51,27,D,M,North,Yorkshire,Platinum,20569.19,3
3108842,12,60,28,D,M,North,N West,Gold,12699.5,19
7200316,9,45,24,C,NA,South East,S & S East,Tin,0.01,8
6334967,5,75,23,C,NA,Midlands,Wales & West,Platinum,30235.99,11
6680310,8,34,12,B,F,Midlands,Midlands,Silver,3000,5
2162880,12,NA,4,A,U,Midlands,East,Silver,4000,5
6361397,15,50,35,D,F,North,Yorkshire,Tin,0.01,9
6248651,6,68,8,B,NA,Midlands,East,Platinum,32053.35,7
1850817,6,63,12,B,F,Midlands,Midlands,Gold,5100,8
7999626,5,70,14,B,F,South East,S & S East,Gold,6000,6
7044412,6,65,35,D,F,North,N West,Gold,6000,2
5146123,10,49,50,F,M,Midlands,Midlands,Tin,0.01,4
4672723,10,43,51,F,F,Midlands,Wales & West,Tin,0.01,8
8895290,14,64,27,D,F,Scottish,C Scotland,Gold,6000,1
2896513,9,48,14,B,M,North,N West,Silver,215,3
6629126,8,42,21,C,F,South East,London,Silver,300,10
7044836,17,52,19,C,F,Midlands,East,Tin,0.01,4
257929,9,60,8,B,M,South East,London,Tin,0.01,5
4085832,10,NA,16,C,F,North,N East,Tin,0.01,13
8653658,15,56,24,C,M,South East,S & S East,Gold,6000,6
7431029,12,62,10,B,U,North,N East,Tin,0.01,8
4260269,4,53,16,C,F,South East,London,Silver,3000,29
6451678,9,43,51,F,NA,NA,NA,Tin,0.01,8
4412800,7,44,25,C,F,Midlands,Midlands,Silver,1628.21,7
3521630,10,44,35,D,M,Midlands,East,Silver,420,1
3295261,12,60,34,D,M,North,N East,Silver,3000,5
9454416,4,71,24,C,F,Midlands,Midlands,Silver,5000,3
3762564,4,63,10,B,F,South East,London,Silver,1800,10
2560783,8,66,46,F,M,South West,S West,Silver,1500,8
2694014,11,70,52,F,NA,South East,London,Gold,13000,2
9214897,12,66,25,C,M,Midlands,Wales & West,Silver,100,1
6904592,6,64,23,C,M,North,N West,Gold,6000,1
5209419,20,37,13,B,F,Midlands,Midlands,Gold,7000,6
9344783,6,47,48,F,M,South East,London,Tin,0.01,9
2880672,9,44,17,C,F,Midlands,Midlands,Gold,5173.73,11
1086779,18,34,7,B,F,South East,London,Tin,0.01,8
5397186,4,51,28,D,NA,South East,London,Tin,0.01,7
3050277,4,56,25,C,U,Midlands,Midlands,Platinum,20538,3
6493699,8,70,35,D,M,North,N East,Gold,12000,2
8623276,10,33,49,F,F,South East,S & S East,Silver,3.32,5
6998920,15,72,13,B,F,North,N West,Silver,3026.67,7
4722445,5,64,53,F,NA,North,Yorkshire,Gold,6000,4
5769544,12,40,8,B,F,Midlands,Midlands,Silver,3000,1
772510,10,76,37,E,F,Midlands,Wales & West,Silver,1200,4
8590296,NA,NA,47,F,U,North,N East,Tin,0.01,5
2104434,7,51,31,D,F,South East,London,Gold,17217.78,4
2042275,13,41,27,D,M,North,Yorkshire,Tin,0.01,5
6883156,5,60,22,C,F,South East,London,Gold,6053.35,7
3518576,13,73,11,B,F,Midlands,Midlands,Silver,100,7
4130927,15,NA,52,F,M,Midlands,East,Tin,0.01,5
2531697,14,32,17,C,F,Midlands,Midlands,Tin,0.01,5
1815648,4,65,12,B,F,South East,London,Silver,2000,5
4139266,13,77,52,F,M,South East,S & S East,Silver,500,8
7134535,13,51,15,B,F,Midlands,Wales & West,Gold,6000,2
2548197,7,36,17,C,NA,North,N West,Silver,500,7
5589583,11,53,29,D,M,South East,S & S East,Gold,6000,3
7512217,10,61,25,C,F,Midlands,Wales & West,Silver,1500,5
1947892,8,49,46,F,M,North,Yorkshire,Gold,6053.35,5
5351177,10,41,25,C,M,South East,London,Gold,6000,5
8128527,7,76,4,A,M,Midlands,Midlands,Gold,18000,3
2568631,4,46,41,E,M,South East,London,Silver,1000,5
10923,10,35,12,B,F,Scottish,C Scotland,Tin,0.01,5
6474115,10,45,50,F,M,Midlands,Midlands,Tin,0.01,9
65129,6,61,4,A,F,South East,London,Gold,6053.35,6
8624952,8,67,30,D,M,South East,S & S East,Gold,5726.89,3
5603648,NA,50,38,E,M,Midlands,East,Tin,0.01,5
6790804,9,29,21,C,F,South East,London,Tin,0.01,5
7287278,NA,63,3,A,U,South East,London,Silver,2872,12
2549988,8,65,8,B,F,North,N West,Silver,5000,32
4926382,NA,61,NA,NA,F,Midlands,Ulster,Gold,16052.66,7
3328580,6,63,52,F,F,South East,London,Tin,0.01,5
8197487,6,61,27,D,NA,Scottish,Border,Silver,3200,5
9233051,8,68,13,B,F,North,Yorkshire,Gold,6000,2
7531463,12,68,44,E,F,North,N West,Silver,100.01,7
7725700,3,67,34,D,U,North,N West,Gold,20000,4
5647107,9,42,26,C,M,South East,London,Tin,0.01,8
8544589,8,57,8,B,F,Midlands,Midlands,Tin,0.01,10
6852850,5,53,34,D,F,South East,S & S East,Silver,2133.12,6
5564388,10,65,2,A,F,North,Yorkshire,Gold,6000,6
2303435,7,58,30,D,M,South East,S & S East,Gold,6100,2
7113068,14,30,35,D,F,Midlands,East,Tin,0.01,7
5417796,7,37,51,F,M,Midlands,East,Silver,0.02,9
6525569,8,65,27,D,M,Midlands,Wales & West,Gold,9000,3
947033,15,69,44,E,F,South East,London,Gold,12000,11
4809616,6,67,8,B,F,North,N East,Gold,12900,13
2208359,11,70,4,A,F,South East,London,Gold,10000,1
